total-sqft,house-sqft,price
5406,2312.80001,184300
6350,3092.5,137700
6350,3092.5,137700
6800,3255,251700
7625,3983,241100
7000,2997.60001,200800
7000,2997.60001,200800
10273,3108.5,199700
0,8820,446500
5000,1103.20001,146100
8540,3668,215300
5050,1188,151400
4545,3726,224600
5250,3726,214400
5050,1256,136700
4850,1260,148200
6960,3348,195500
4920,3666,174300
6200,3492,167900
0,8403,401800
6864,1392,103300
6250,2829,146700
0,5376,207900
0,5376,207900
0,3300,219900
6007,2395,140000
13026,2460,154900
7500,2877.5,78800
7500,2877.5,78800
7500,2877.5,78800
7500,2877.5,78800
0,6048,72000
0,6912,95200
5720,3510,198800
5130,3936,178200
9200,3852,175000
7940,3936,181200
4040,3169.5,164100
4040,3169.5,164100
4920,3459,145500
7950,2396,197500
7950,2396,197500
6525,4462.20001,177900
6370,5042,122400
6370,5042,122400
6370,5042,122400
6370,5042,122400
6650,1350,131200
6650,1350,131200
6650,1350,131200
6650,1350,131200
7460,2803.20001,160800
3046,3747,109400
0,6120,229600
0,23820,1082100
5850,2510,146200
4960,2816.40001,165700
7500,2875,170800
7500,3476,178600
6000,3504,179500
6300,2940,166500
6285,2370,156400
8000,2612.40001,133000
8000,2371.3,152000
6250,1322,121000
3800,3162.5,162200
4995,982.5,101500
9984,3940,178700
9984,3940,178700
9960,2360.20001,147000
8350,2665.5,147700
6480,2872.5,163000
16560,8778,487200
7500,2884,196000
7750,3169,178600
8176,2625,171500
6890,2700.75,55300
8730,912,114800
8730,912,114800
7740,3132.5,181700
7700,3154,182100
5989,3561,176500
10036,4020,194400
6912,3096,170700
7400,5400,301100
7610,1626,136500
8393,8388,105100
6150,3404,177800
2000,1280,68600
4770,3232.5,174600
5740,3062.5,175500
0,5916,252900
7500,5670,230000
0,6048,89200
0,6048,197000
0,7044,263600
0,7044,263600
0,4680,167600
7500,1393.5,112800
7500,2071.20001,146300
0,9271.24,453600
6450,4974.5,176400
5712,2546.5,162100
0,7215,259400
0,7215,259400
8810,2257.5,178700
6900,1776.00001,143000
7600,3239.5,174400
7150,2831,173600
7500,2415.20001,157400
0,4501.2,189000
0,4501.2,189000
6111,720,115700
5467,1290.75,125000
2430,3693,182600
6150,3354,171400
6629,3432,182300
0,3024,170000
0,3024,170000
0,3024,160000
7400,4464,220800
7400,4464,220800
7600,2600,169500
7600,2600,169500
10500,3762,198200
10353,3588,178900
6260,2933.60001,210300
0,3840,179200
0,3840,179200
0,3840,179200
0,3840,179200
6250,3240,170600
6250,1888,134000
6700,1933.60001,138600
6200,2802.5,157000
6200,2802.5,157000
6200,2382,159900
7500,6512,286100
8060,1689.60001,153600
8245,3588,180600
8750,2373.20001,145800
8750,2373.20001,145800
8750,2373.20001,145800
6200,1225.60001,120300
3125,1048,109400
6000,3899.00001,237700
0,3776,185800
5500,1886.40001,131000
5500,2472.5,134800
9880,1786,179700
7860,1363,144800
6550,3744,178800
5250,1456.00001,135700
5850,2496,152300
6023,3660,197400
4950,1260,138100
6050,2338,208700
6050,2338,208700
6050,2338,208700
6050,2338,208700
6300,2150,190500
6400,2200,190300
5750,1498.5,159500
5750,1498.5,159500
6500,1814.75,150400
6500,1944,170300
6500,1917.60001,163600
6510,1492.5,143300
13780,1243,172700
8840,1544,154600
6780,2870.40001,186700
5700,900,129100
5650,1792.4,148600
6100,1374.25,149300
7980,2180,166700
6350,1384,145800
5500,1148,162000
5500,1528,149300
5500,1152,137600
5500,1487,143100
5500,1724.00001,144500
5500,1724.00001,144500
6050,1591.75,149000
6050,1591.75,149000
5130,3575,167400
0,3768.5,65000
10200,3272.5,161800
8260,3597.5,213000
4925,1792,113700
4925,1792,113700
9050,3240.25,71100
3498,3144,138400
0,4467,192100
0,27201,1462000
0,25758,1601600
20100,8168,463400
20100,8168,463400
0,6933,229000
6600,1636.5,160400
5500,1986,151500
5500,1250.5,156100
5500,1652,158900
5720,1536,158200
5500,2480,179300
5500,1800,171200
5500,1352,144000
5500,1672,190100
5500,1672,190100
5500,1050,135700
5500,980,137200
5500,1902,171900
5500,1288,139400
5500,1814,192600
5500,1814,192600
11250,1333,176100
11250,1333,176100
6700,1230.00001,148800
6700,1230.00001,148800
5000,1040.20001,133800
5000,1040.20001,133800
5000,1041.60001,139300
5000,1087,146000
5000,1192,137900
5000,2930,159500
5000,2930,159500
0,6933,229000
76230,19275,580300
0,6268,251100
10000,3789,202100
0,3374,95400
80624,25300,1191900
4924,3753,188200
4924,3753,188200
36250,7000,377300
1445884,210685,16257300
95396,19383,883800
30012,5040,172300
5000,2930,159500
5000,2930,159500
5000,3300,209700
0,11280,349200
0,11280,349200
7900,3858,198400
0,1824,150000
5000,720,114000
4000,1280,187100
4900,2520,190200
5406,2312.80001,184300
5000,2291.5,156600
6533,2496.00001,208100
6800,3255,251700
6490,1162.5,137500
6490,1162.5,137500
8131,1605,175400
7975,1180,135300
7000,2990,192000
7000,2990,192000
7000,3450,202700
97574,19752.00001,2436600
21600,3988.77,514600
5000,1080,142300
8540,2484,186400
8540,3668,215300
0,39614.39,1600000
0,6912,284100
4635,3660,180900
6585,3146,167100
4835,1822,154700
12595,2165,238500
9435,1271,117200
7500,2949.60001,115000
88862,42426,2931900
22630,5758,679200
5175,1494,98300
10000,3774,197100
10000,3774,197100
10000,3774,197100
10000,3137.5,193900
10000,3137.5,193900
7499,1421,131600
7500,1367.25,121100
155509,54138,5475000
8540,3668,215300
8540,2624,197300
8540,2624,197300
8540,2632,199400
8540,2096,180400
5050,1188,151400
5050,1512,150800
5050,2926.40001,183100
5050,2392,172500
4850,1260,148200
4800,1080,138800
5555,1802,112300
5555,1802,112300
4950,2378.5,178500
6860,1330,112300
6200,4284,214000
0,8403,401800
0,8334,187726
0,8334,187726
6350,4002,97300
6210,3435,175500
5900,3171.5,165600
5900,1239,114800
4400,3928,158900
6864,1392,103300
7500,2875,170800
155509,54138,5475000
7500,1315,107900
4760,3461,184800
4760,3461,184800
6300,3700.80002,250100
5650,1780.00001,134500
6550,3425,174400
11876,2162,175400
12900,16822,963100
12900,16822,963100
12900,16822,963100
0,5232,195200
0,5076,252800
5000,3500.75,144900
4000,1153,105000
4000,1153,105000
4400,1519,98800
5000,3645,175100
5000,2445,86100
5000,1440,140300
5000,1588,147200
5000,926,109500
5000,1872.5,138400
4000,3432,168100
0,4059,192100
6600,3272.5,249400
8000,3424,212700
7500,3476,178600
6000,3504,179500
6300,2802.25,179100
7500,3587.5,136700
8250,2684,166600
8000,2612.40001,133000
6250,1623.8,128800
6250,1322,121000
6250,1322,121000
4995,982.5,101500
4995,982.5,101500
5075,1513.25,122000
5075,1513.25,122000
5260,2482.25,142800
9600,5180,217900
7675,2513.5,190700
7675,2513.5,190700
8850,5427.5,205700
8000,3307.20001,238300
8600,2896,209700
8050,4542.25,294700
8050,4542.25,294700
7200,2477.5,233400
7200,2477.5,233400
8250,3258.00001,252200
9000,2394,224600
9000,3447,249800
9000,3447,249800
9000,3578,281400
8250,2608.5,203000
12400,3451.20001,228000
7964,2091.40001,176000
8555,3960.75,345800
9782,4248,324700
8400,4892,325400
20550,4334.80002,439300
10725,3877.5,327100
22240,6417.20002,678900
9990,3777.5,376600
16800,4525,377700
8520,2725,274800
11058,3341,327400
9960,2360.20001,147000
4455,5820,254300
7500,3456,209100
1980,1280,76000
15210,5488,351000
2900,1773,139400
5334,2791,156500
5625,2289.5,142600
5625,2289.5,142600
5625,2289.5,142600
6150,3404,177800
2000,1280,68600
4770,3232.5,174600
7500,4017,168700
4900,3684,151700
0,5916,252900
